530,694
416,248
426,375
634,149
861,945
355,983
109,755
465,170
292,496
939,221
279,965
116,303
169,190
573,293
285,814
168,127
24,195
746,932
174,758
218,199
279,109
882,283
23,783
461,551
571,51
95,737
170,725
635,342
614,687
791,23
729,243
679,669
282,924
306,195
328,702
151,149
275,194
646,751
350,501
44,520
17,755
977,504
232,255
690,711
332,722
53,486
319,865
260,464
908,535
336,293
394,808
560,296
503,864
805,218
930,345
337,414
388,929
634,869
501,905
186,371
918,6
481,989
347,961
755,899
210,807
973,125
607,833
383,887
944,988
934,728
333,714
705,776
524,693
506,912
560,47
934,710
393,18
808,205
154,46
961,658
297,49
47,743
258,892
771,598
827,277
728,227
596,340
638,214
787,548
377,733
889,691
167,146
419,478
189,487
593,738
981,787
368,930
268,408
163,523
342,707
220,333
399,710
839,463
870,215
133,952
454,720
59,108
861,287
810,203
948,626
124,551
533,112
157,715
708,157
294,300
478,31
619,493
619,660
576,277
92,562
348,983
427,464
14,299
959,899
231,37
93,978
657,376
213,829
674,164
78,221
684,933
593,531
825,650
617,723
652,736
889,982
150,150
401,669
894,341
523,199
630,629
110,774
575,153
716,337
941,84
626,328
148,93
206,402
716,850
63,89
341,934
181,22
661,969
145,199
956,712
336,853
201,717
638,122
563,943
136,701
270,387
944,820
638,367
990,550
671,464
722,323
753,865
591,735
902,187
786,9
167,554
902,305
508,235
835,260
209,202
291,746
796,681
153,891
109,973
93,951
3,538
277,614
953,65
761,429
846,622
429,861
778,297
184,533
867,708
235,29
244,779
869,4
317,173
563,317
953,754
165,234
396,136
507,731
225,437
51,914
414,120
260,708
253,190
577,575
34,555
739,487
948,391
695,777
131,463
284,137
177,321
263,9
789,779
232,675
44,102
91,643
425,600
264,962
622,179
801,100
447,557
713,733
277,409
968,244
583,861
16,541
292,71
878,37
317,997
296,508
771,600
348,75
909,84
742,291
433,32
80,325
853,318
57,187
995,581
323,884
182,8
915,525
738,930
932,729
917,507
657,185
500,802
629,414
656,760
461,599
749,504
954,218
795,909
831,201
919,197
635,733
142,103
391,826
65,324
952,511
703,180
532,427
465,545
833,321
876,399
949,446
767,236
75,970
29,68
987,951
878,541
776,162
431,301
123,42
214,998
204,95
928,859
382,998
43,90
439,904
644,359
887,661
219,528
524,569
300,175
512,739
662,693
338,78
529,480
959,399
719,654
837,546
125,810
535,638
430,788
718,209
6,798
16,726
557,890
912,186
802,804
468,741
346,452
895,257
102,642
171,316
218,599
759,558
65,806
638,161
473,115
419,408
165,518
212,897
605,268
29,383
818,717
821,218
108,591
321,311
288,961
498,647
879,520
227,317
206,259
169,458
546,684
288,933
223,172
512,607
837,221
46,579
645,654
198,497
399,604
291,989
598,849
143,441
426,429
710,465
958,956
265,298
109,61
153,674
167,249
416,262
442,182
699,18
792,723
181,184
842,169
320,834
103,963
459,388
316,705
379,829
288,923
855,505
68,902
765,512
296,502
268,55
759,803
833,929
393,932
907,901
930,966
838,991
95,682
843,308
384,437
783,168
105,982
922,713
391,198
32,972
593,839
833,522
679,586
387,849
340,526
743,499
133,555
758,99
497,637
819,731
156,457
358,956
707,989
157,285
127,343
802,55
627,534
217,6
399,363
805,864
152,560
616,573
237,919
651,832
4,716
671,878
358,984
556,120
901,656
603,173
89,759
953,401
964,5
499,115
291,475
649,440
875,62
767,164
554,827
222,528
847,923
642,988
691,308
7,567
282,827
271,435
436,485
192,277
306,619
12,679
185,550
581,386
50,937
223,465
290,94
237,410
481,110
296,151
811,803
944,969
108,248
921,970
70,853
420,648
337,113
707,521
189,295
479,250
119,624
892,10
670,457
610,407
292,76
348,245
283,484
628,719
233,150
871,915
528,630
157,156
281,303
257,267
98,388
215,706
944,412
326,213
193,748
624,68
691,483
216,398
464,916
450,177
391,325
727,269
527,650
900,883
403,338
938,466
777,532
949,846
277,47
267,360
679,627
536,173
600,475
174,666
429,91
158,457
899,930
95,75
787,921
62,176
737,201
743,371
533,713
802,891
5,854
665,663
897,389
82,283
737,165
